X,Y,LINE,NAME,DISTRICT,SECTOR,STATION_ID,NOTE
985732,171083,"D","50 Street","34","",61,"D-all times"
985122,167427,"D","62 Street","34","",63,"D-all times"
984088,162667,"D","79 Street","34","",65,"D-all times"
984757,159577,"D","20 Avenue","34","",67,"D-all times"
987908,157036,"D","25 Avenue","34","",69,"D-all times"
981054,170614,"N","8 Avenue","34","",71,"N-all times"
985262,166923,"N","New Utrecht Avenue","34","",73,"N-all times"
988547,164106,"N","20 Avenue","34","",75,"N-all times"
989700,159352,"N","Kings Highway","34","",77,"N-all times"
990308,155128,"N","86 Street","34","",79,"N-all times"
1029506,193296,"J,Z","111 Street","20","",81,"J-all times"
1025277,192046,"J,Z","Woodhaven Boulevard","20","",83,"J-all times, Z-rush hours AM westbound, PM eastbound"
1021053,191160,"J","75 Street / Elderts Lane","20","",85,"Z-rush hours AM westbound, PM eastbound, J-all other times"
1019216,188193,"J,Z","Crescent Street","33","",87,"J-all times, Z-rush hours AM westbound, PM eastbound"
1016093,186959,"J","Cleveland Street","33","",89,"J-all times"
1012396,185941,"J","Alabama Avenue","33","",91,"J-all times"
1009105,188070,"J,Z","Chauncey Street","33","",93,"Z-rush hours AM westbound, PM eastbound, J-all other times"
1005838,190520,"J,Z","Gates Avenue","33","",95,"Z-rush hours AM westbound, PM eastbound, J-all other times"
1002101,193290,"J,M,Z","Myrtle Avenue","33","",97,"J,M-all times, Z-rush hours AM westbound, PM eastbound"
998847,195710,"J,M","Lorimer Street","33","",99,"J-all times, skips weekdays AM westbound, PM eastbound, M-all times exc nights"
995941,197362,"J,M,Z","Marcy Avenue","33","",101,"J-all times, M-all times exc nights, Z-rush hours AM westbound, PM eastbound"
